,bl_id,building_name,address,utility,account,consump_month,consump_year,bge_kWh_used,bge_therms_used,name,address1,block,lot,lat,lon,sq_ft,property_type,agency_occupied,year_built,neighborhood,council_district,Property Type Code
10,B00031,Baltimore City Police Western District,1034 N Mount St,bge,2774270000.0,7.0,2019.0,26900.0,24.0,Baltimore City Police Western District,1034 N Mount St,60,7,39.300666,-76.644706,22024.65,"Public Services, police",BCPD,1961.0,Sandtown - Winchester,9.0,1
11,B00102,Druid Health District Building,1515 W North Av,bge,2941411000.0,7.0,2019.0,57972.0,137.0,Druid Health District Building,1515 W North Av,295,2,39.30983,-76.64138,36012.0,"Healthcare, Urgent Care/Clinic/Out Patient",HEALTH,1960.0,Druid Heights,7.0,4
12,B00228,Carroll Mansion Musuem,802 Lombard St,bge,3047401000.0,7.0,2019.0,5440.0,0.0,Carroll Mansion Musuem,802 Lombard St,1358,12,39.28855,-76.6044,12527.19,"Public Assembly, Museum",DGS HISTORIC,1812.0,Jonestown,12.0,8
13,B00026,Baltimore City Police North Western District,5271 Reisterstown Rd,bge,4751312000.0,7.0,2019.0,11454.0,0.0,Baltimore City Police North Western District,5271 Reisterstown Rd,4543B,27,39.34462,-76.685455,56228.0,"Public Services, police",BCPD,1965.0,Middle Branch - Reedbird Parks,10.0,1
14,B00120,Waxter Senior Center,1000 Cathedral St,bge,5229602000.0,7.0,2019.0,83960.0,27.0,Waxter Senior Center,1000 Cathedral St,504,1,39.301190000000005,-76.61804000000001,50386.44,"Healthcare, Senior Care Community",HEALTH,1972.0,Mid - Town Belvedere,11.0,3
15,B00100,Eastern Health District Building,620 N Caroline St,bge,8752451000.0,7.0,2019.0,52797.0,60.0,Eastern Health District Building,620 N Caroline St,1280,3,39.2977,-76.59796,29232.0,"Healthcare, Urgent Care/Clinic/Out Patient",HEALTH,1939.0,Dunbar- Broadway,12.0,4
16,B00229,"Jean and Lillian Hofmeister Museum Building,Star Spangled Banner Museum and Flag House",844 E Pratt St,bge,9003501000.0,7.0,2019.0,3620.0,4.0,"Jean and Lillian Hofmeister Museum Building,Star Spangled Banner Museum and Flag House",844 E Pratt St,1377,16,39.28776,-76.6036,2117.29,"Public Assembly, Museum",DGS HISTORIC,2003.0,Jonestown,12.0,8
17,B00028,Baltimore City Police Southern District,10 Cherry Hill Rd,bge,9570811000.0,7.0,2019.0,35505.0,31.0,Baltimore City Police Southern District,10 Cherry Hill Rd,7610,11,39.25288,-76.6172,29314.0,"Public Services, police",BCPD,1965.0,Middle Branch - Reedbird Parks,10.0,1
18,B00029,Baltimore City Police South Eastern District,5710 Eastern Av,bge,1245540000.0,7.0,2019.0,35920.0,2.0,Baltimore City Police South Eastern District,5710 Eastern Avenue Baltimore ,6332,9,39.287688,-76.547422,26177.0,"Public Services, police",BCPD,1950.0,Hopkins Bayview,1.0,1
19,B00075,Northeast DGS Fleet Substation,4325 York Rd,bge,1467291000.0,7.0,2019.0,5500.0,0.0,Northeast DGS Fleet Substation,4325 York Rd,5211,9,39.34171,-76.60918000000001,4764.0,"Warehouse, self storage",DGS,1979.0,Wilson Park,9.0,11
20,B00073,Fallsway Substation,201 Fallsway St,bge,1961720000.0,7.0,2019.0,679.0,0.0,Fallsway Substation,201 Fallsway St,1306C,1,39.2922,-76.6069,25507.0,"Warehouse, self storage",DGS,1940.0,Jonestown,12.0,11
21,B00022,Baltimore City Mounted Police Unit,411 Fallsway St,bge,2119590000.0,12.0,2017.0,10637.0,0.0,Baltimore City Mounted Police Unit,411 Fallsway St,1255,2,39.295559999999995,-76.61028,11270.59,"Public Services, police",BCPD,,Penn - Fallsway,11.0,1
22,B00048,Health Department Headquarters,1001 E Fayette St,bge,2829991000.0,7.0,2019.0,82928.0,6.0,Health Department Headquarters,1001 E Fayette St,1337,1,39.29097,-76.6031,277322.95,Office,HEALTH,2001.0,Jonestown,12.0,6
23,B00167,Parking Authority Offices,200 West Lombard St Suite B,bge,3138112000.0,7.0,2019.0,11600.0,0.0,Parking Authority Offices,200 West Lombard St Suite B,644,1,39.28774,-76.61863000000001,15209.0,Office,PABC,1960.0,Downtown,11.0,6
24,B00035,Baltimore City Police Northern District,2201 West Cold Spring Lane,bge,3275661000.0,7.0,2019.0,55065.0,412.0,Baltimore City Police Northern District,2201 West Cold Spring Lane,3357E,009A,39.34304,-76.65236,25508.47,"Public Services, police",BCPD,2001.0,Woodberry,6.0,1
25,B00167,Parking Authority Offices,200 West Lombard St Suite B,bge,3618420000.0,7.0,2019.0,27166.0,0.0,Parking Authority Offices,200 West Lombard St Suite B,644,1,39.28774,-76.61863000000001,15209.0,Office,PABC,1960.0,Downtown,11.0,6
26,B00163,The Weinberg Housing and Resource Center,620 Fallsway St,bge,3720580000.0,7.0,2019.0,2404.0,0.0,The Weinberg Housing and Resource Center,620 Fallsway St,1248,1,39.29733,-76.61064,40949.0,"Lodging, Residential Care",MOHS,1945.0,Penn - Fallsway,11.0,5
27,B06107,1812 Museum Flag House Building,844 E Pratt St,bge,3955000000.0,7.0,2019.0,38322.0,0.0,1812 Museum Flag House Building,844 E Pratt St,1377,16,39.28751,-76.60333,12685.55,"Public Assembly, Museum",DGS HISTORIC,1793.0,Jonestown,12.0,8
28,B08003,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,bge,4360021000.0,7.0,2019.0,12107.0,0.0,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6
29,B00011,First Mariner Arena,201 West Baltimore St,bge,4561060000.0,7.0,2019.0,486453.0,0.0,First Mariner Arena,201 West Baltimore St,644,1,39.28862,-76.61861999999999,697620.0,"Public Assembly, Convention Center",Civic Centers,1960.0,Downtown,11.0,7
30,B00163,The Weinberg Housing and Resource Center,620 Fallsway St,bge,5129381000.0,7.0,2019.0,105963.0,812.0,The Weinberg Housing and Resource Center,620 Fallsway St,1248,1,39.29733,-76.61064,40949.0,"Lodging, Residential Care",MOHS,1945.0,Penn - Fallsway,11.0,5
31,B00005,DGS Public Building Maintenance Shop,500 Fallsway,bge,5601260000.0,7.0,2019.0,47862.0,10.0,DGS Public Building Maintenance Shop,500 Fallsway,1255,1,39.29588,-76.61028,18144.0,"Warehouse, self storage",DGS,1945.0,Penn - Fallsway,11.0,11
32,B06043,Fleet Central Garage Main Building,3800 E Biddle St,bge,5620250000.0,7.0,2019.0,91786.0,221.0,Fleet Central Garage Main Building,3800 E Biddle St,6150A,003D,39.30612,-76.56612,105914.0,"Warehouse, self storage",DGS,2008.0,Orangevile Industrial Area ,13.0,11
33,B08003,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,bge,5777670000.0,7.0,2019.0,6106.0,0.0,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6
34,B08020,Eastside Career Center,3001 E Madison St,bge,5884920000.0,7.0,2019.0,21240.0,5.0,Eastside Career Center,3001 E Madison St,1630,1,39.29973,-76.575,27910.0,"Education, vocational",MOED,1955.0,Maidson- Eastend,,2
35,B00051,MECU Building,401 E Fayette St,bge,5931911000.0,7.0,2019.0,172986.0,0.0,MECU Building,401 E Fayette St,1331,16,39.290279999999996,-76.60994000000001,46668.0,Office,MULTI,1981.0,Downtown,11.0,6
36,B00073,Fallsway Substation,201 Fallsway St,bge,5992321000.0,7.0,2019.0,12560.0,0.0,Fallsway Substation,201 Fallsway St,1306C,1,39.2922,-76.6069,25507.0,"Warehouse, self storage",DGS,1940.0,Jonestown,12.0,11
37,B00011,First Mariner Arena,201 West Baltimore St,bge,6042981000.0,7.0,2019.0,0.0,178.0,First Mariner Arena,201 West Baltimore St,644,1,39.28862,-76.61861999999999,697620.0,"Public Assembly, Convention Center",Civic Centers,1960.0,Downtown,11.0,7
38,B08000,Northeast DGS Fleet Substation Garage,4325 York Rd,bge,6159241000.0,7.0,2019.0,1485.0,0.0,Northeast DGS Fleet Substation Garage,4325 York Rd,5211,9,39.34193,-76.60871,893.0,"Warehouse, self storage",DGS ,,Wilson Park,4.0,11
39,B00034,Baltimore City Police K9 Unit,Mansion House Dr,bge,6756240000.0,7.0,2019.0,31286.0,0.0,Baltimore City Police K9 Unit,Mansion House Dr,3499,1,39.3238,-76.64389,26177.0,"Public Services, police",BCPD,,Druid Hill Park,7.0,1
40,B00220,Peale Museum,225 N Holliday St,bge,6948371000.0,7.0,2019.0,15000.0,69.0,Peale Museum,225 N Holliday St,1303A,15,39.29186,-76.61007,13686.0,"Public Assembly, Museum",DGS HISTORIC,1814.0,Downtown,11.0,8
41,B08003,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,bge,7560081000.0,7.0,2019.0,4791.0,0.0,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6
42,B00076,Northwest Substation,4410 Lewin Av,bge,8308470000.0,7.0,2019.0,5838.0,13.0,Northwest Substation,4410 Lewin Av,2959B,191,39.33955,-76.67869,4764.0,"Warehouse, self storage",DOT,1966.0,Dolefield,6.0,11
43,B00181,Northern Community Action Center,5225 York Rd,bge,8499201000.0,7.0,2019.0,20221.0,0.0,Northern Community Action Center,5225 York Rd,5165A,12,39.353809999999996,-76.60951999999999,14344.0,"Public Assembly, Other",CAC,1950.0,Woodbourne-McCabe,4.0,9
44,B00167,Parking Authority Offices,200 West Lombard St Suite B,bge,9330860000.0,7.0,2019.0,8959.0,0.0,Parking Authority Offices,200 West Lombard St Suite B,644,1,39.28774,-76.61863000000001,15209.0,Office,PABC,1960.0,Downtown,11.0,6
45,B00101,WIC Center/ Dunbar Child Care Academy,621 North Eden Street,bge,9629061000.0,7.0,2019.0,12969.0,0.0,WIC Center/ Dunbar Child Care Academy,621 North Eden Street,1280,5,39.29068052,-76.60768333,16448.0,Office,MULTI,,,,6
46,B08003,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,bge,9633841000.0,7.0,2019.0,3868.0,4.0,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6
47,B00036,Baltimore City Police Department Warrant Task Force,242 West 29th St,bge,9815941000.0,7.0,2019.0,45673.0,17.0,Baltimore City Police Department Warrant Task Force,242 West 29th St,3658,075A,39.32306,-76.62223,30310.79,"Public Services, police",BCPD,1992.0,Remington,14.0,1
48,B00029,Baltimore City Police South Eastern District,5710 Eastern Av,bge,1245540000.0,6.0,2019.0,33960.0,12.0,Baltimore City Police South Eastern District,5710 Eastern Avenue Baltimore ,6332,9,39.287688,-76.547422,26177.0,"Public Services, police",BCPD,1950.0,Hopkins Bayview,1.0,1
49,B00075,Northeast DGS Fleet Substation,4325 York Rd,bge,1467291000.0,6.0,2019.0,5400.0,29.0,Northeast DGS Fleet Substation,4325 York Rd,5211,9,39.34171,-76.60918000000001,4764.0,"Warehouse, self storage",DGS,1979.0,Wilson Park,9.0,11
50,B00073,Fallsway Substation,201 Fallsway St,bge,1961720000.0,6.0,2019.0,822.0,11.0,Fallsway Substation,201 Fallsway St,1306C,1,39.2922,-76.6069,25507.0,"Warehouse, self storage",DGS,1940.0,Jonestown,12.0,11
51,B00048,Health Department Headquarters,1001 E Fayette St,bge,2829991000.0,6.0,2019.0,86071.0,6.0,Health Department Headquarters,1001 E Fayette St,1337,1,39.29097,-76.6031,277322.95,Office,HEALTH,2001.0,Jonestown,12.0,6
52,B00167,Parking Authority Offices,200 West Lombard St Suite B,bge,3138112000.0,6.0,2019.0,10700.0,0.0,Parking Authority Offices,200 West Lombard St Suite B,644,1,39.28774,-76.61863000000001,15209.0,Office,PABC,1960.0,Downtown,11.0,6
53,B00035,Baltimore City Police Northern District,2201 West Cold Spring Lane,bge,3275661000.0,6.0,2019.0,62148.0,524.0,Baltimore City Police Northern District,2201 West Cold Spring Lane,3357E,009A,39.34304,-76.65236,25508.47,"Public Services, police",BCPD,2001.0,Woodberry,6.0,1
54,B00167,Parking Authority Offices,200 West Lombard St Suite B,bge,3618420000.0,6.0,2019.0,27118.0,0.0,Parking Authority Offices,200 West Lombard St Suite B,644,1,39.28774,-76.61863000000001,15209.0,Office,PABC,1960.0,Downtown,11.0,6
55,B00163,The Weinberg Housing and Resource Center,620 Fallsway St,bge,3720580000.0,6.0,2019.0,2660.0,0.0,The Weinberg Housing and Resource Center,620 Fallsway St,1248,1,39.29733,-76.61064,40949.0,"Lodging, Residential Care",MOHS,1945.0,Penn - Fallsway,11.0,5
56,B06107,1812 Museum Flag House Building,844 E Pratt St,bge,3955000000.0,6.0,2019.0,45599.0,0.0,1812 Museum Flag House Building,844 E Pratt St,1377,16,39.28751,-76.60333,12685.55,"Public Assembly, Museum",DGS HISTORIC,1793.0,Jonestown,12.0,8
57,B08003,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,bge,4360021000.0,6.0,2019.0,11800.0,0.0,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6
58,B00163,The Weinberg Housing and Resource Center,620 Fallsway St,bge,5129381000.0,6.0,2019.0,134164.0,916.0,The Weinberg Housing and Resource Center,620 Fallsway St,1248,1,39.29733,-76.61064,40949.0,"Lodging, Residential Care",MOHS,1945.0,Penn - Fallsway,11.0,5
59,B00005,DGS Public Building Maintenance Shop,500 Fallsway,bge,5601260000.0,6.0,2019.0,42790.0,10.0,DGS Public Building Maintenance Shop,500 Fallsway,1255,1,39.29588,-76.61028,18144.0,"Warehouse, self storage",DGS,1945.0,Penn - Fallsway,11.0,11
60,B06043,Fleet Central Garage Main Building,3800 E Biddle St,bge,5620250000.0,6.0,2019.0,80946.0,233.0,Fleet Central Garage Main Building,3800 E Biddle St,6150A,003D,39.30612,-76.56612,105914.0,"Warehouse, self storage",DGS,2008.0,Orangevile Industrial Area ,13.0,11
61,B08003,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,bge,5777670000.0,6.0,2019.0,5362.0,0.0,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6
62,B08020,Eastside Career Center,3001 E Madison St,bge,5884920000.0,6.0,2019.0,18880.0,5.0,Eastside Career Center,3001 E Madison St,1630,1,39.29973,-76.575,27910.0,"Education, vocational",MOED,1955.0,Maidson- Eastend,,2
63,B00051,MECU Building,401 E Fayette St,bge,5931911000.0,6.0,2019.0,156212.0,0.0,MECU Building,401 E Fayette St,1331,16,39.290279999999996,-76.60994000000001,46668.0,Office,MULTI,1981.0,Downtown,11.0,6
64,B00073,Fallsway Substation,201 Fallsway St,bge,5992321000.0,6.0,2019.0,10880.0,0.0,Fallsway Substation,201 Fallsway St,1306C,1,39.2922,-76.6069,25507.0,"Warehouse, self storage",DGS,1940.0,Jonestown,12.0,11
65,B00011,First Mariner Arena,201 West Baltimore St,bge,6042981000.0,6.0,2019.0,0.0,319.0,First Mariner Arena,201 West Baltimore St,644,1,39.28862,-76.61861999999999,697620.0,"Public Assembly, Convention Center",Civic Centers,1960.0,Downtown,11.0,7
66,B08000,Northeast DGS Fleet Substation Garage,4325 York Rd,bge,6159241000.0,6.0,2019.0,1400.0,0.0,Northeast DGS Fleet Substation Garage,4325 York Rd,5211,9,39.34193,-76.60871,893.0,"Warehouse, self storage",DGS ,,Wilson Park,4.0,11
67,B00034,Baltimore City Police K9 Unit,Mansion House Dr,bge,6756240000.0,6.0,2019.0,35220.0,0.0,Baltimore City Police K9 Unit,Mansion House Dr,3499,1,39.3238,-76.64389,26177.0,"Public Services, police",BCPD,,Druid Hill Park,7.0,1
68,B00220,Peale Museum,225 N Holliday St,bge,6948371000.0,6.0,2019.0,13600.0,74.0,Peale Museum,225 N Holliday St,1303A,15,39.29186,-76.61007,13686.0,"Public Assembly, Museum",DGS HISTORIC,1814.0,Downtown,11.0,8
69,B08003,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,bge,7560081000.0,6.0,2019.0,5137.0,0.0,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6
70,B00076,Northwest Substation,4410 Lewin Av,bge,8308470000.0,6.0,2019.0,5701.0,13.0,Northwest Substation,4410 Lewin Av,2959B,191,39.33955,-76.67869,4764.0,"Warehouse, self storage",DOT,1966.0,Dolefield,6.0,11
71,B00181,Northern Community Action Center,5225 York Rd,bge,8499201000.0,6.0,2019.0,17023.0,0.0,Northern Community Action Center,5225 York Rd,5165A,12,39.353809999999996,-76.60951999999999,14344.0,"Public Assembly, Other",CAC,1950.0,Woodbourne-McCabe,4.0,9
72,B00167,Parking Authority Offices,200 West Lombard St Suite B,bge,9330860000.0,6.0,2019.0,8185.0,0.0,Parking Authority Offices,200 West Lombard St Suite B,644,1,39.28774,-76.61863000000001,15209.0,Office,PABC,1960.0,Downtown,11.0,6
73,B00101,WIC Center/ Dunbar Child Care Academy,621 North Eden Street,bge,9629061000.0,6.0,2019.0,12957.0,0.0,WIC Center/ Dunbar Child Care Academy,621 North Eden Street,1280,5,39.29068052,-76.60768333,16448.0,Office,MULTI,,,,6
74,B08003,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,bge,9633841000.0,6.0,2019.0,4117.0,60.0,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6
75,B00036,Baltimore City Police Department Warrant Task Force,242 West 29th St,bge,9815941000.0,6.0,2019.0,49693.0,17.0,Baltimore City Police Department Warrant Task Force,242 West 29th St,3658,075A,39.32306,-76.62223,30310.79,"Public Services, police",BCPD,1992.0,Remington,14.0,1
76,B00011,First Mariner Arena,201 West Baltimore St,bge,4561060000.0,6.0,2019.0,404767.0,0.0,First Mariner Arena,201 West Baltimore St,644,1,39.28862,-76.61861999999999,697620.0,"Public Assembly, Convention Center",Civic Centers,1960.0,Downtown,11.0,7
77,B00182,Lower Park Heights Multi Purpose Building,3939 Reisterstown Rd,bge,1198781000.0,6.0,2019.0,43084.0,1.0,Lower Park Heights Multi Purpose Building,3939 Reisterstown Rd,3321,23,39.333729999999996,-76.66336,33707.0,"Public Assembly, Other",CAC,1978.0,Central Park Heights,6.0,9
78,B00183,Reservoir Hill / Metro Delta Head Start,2001 Park Av,bge,786151000.0,6.0,2019.0,4500.0,0.0,Reservoir Hill / Metro Delta Head Start,2001 Park Av,3448,30,39.313340000000004,-76.62805999999999,18744.0,"Education, vocational",VACANT,1880.0,Resevoir Hill,7.0,2
79,B00230,President's Street Station Civil War Museum,601 President St,bge,2211251000.0,6.0,2019.0,1600.0,0.0,President's Street Station Civil War Museum,601 President St,1799,3,39.28398,-76.60247,4543.28,"Public Assembly, Museum",DGS HISTORIC,1851.0,Inner Harbor,1.0,8
80,B00031,Baltimore City Police Western District,1034 N Mount St,bge,2774270000.0,6.0,2019.0,27200.0,30.0,Baltimore City Police Western District,1034 N Mount St,60,7,39.300666,-76.644706,22024.65,"Public Services, police",BCPD,1961.0,Sandtown - Winchester,9.0,1
81,B00102,Druid Health District Building,1515 W North Av,bge,2941411000.0,6.0,2019.0,51751.0,153.0,Druid Health District Building,1515 W North Av,295,2,39.30983,-76.64138,36012.0,"Healthcare, Urgent Care/Clinic/Out Patient",HEALTH,1960.0,Druid Heights,7.0,4
82,B00228,Carroll Mansion Musuem,802 Lombard St,bge,3047401000.0,6.0,2019.0,4320.0,0.0,Carroll Mansion Musuem,802 Lombard St,1358,12,39.28855,-76.6044,12527.19,"Public Assembly, Museum",DGS HISTORIC,1812.0,Jonestown,12.0,8
83,B00167,Parking Authority Offices,200 West Lombard St Suite B,bge,3179510000.0,6.0,2019.0,0.0,0.0,Parking Authority Offices,200 West Lombard St Suite B,644,1,39.28774,-76.61863000000001,15209.0,Office,PABC,1960.0,Downtown,11.0,6
84,B00228,Carroll Mansion Musuem,802 Lombard St,bge,4329351000.0,6.0,2019.0,0.0,0.0,Carroll Mansion Musuem,802 Lombard St,1358,12,39.28855,-76.6044,12527.19,"Public Assembly, Museum",DGS HISTORIC,1812.0,Jonestown,12.0,8
85,B00026,Baltimore City Police North Western District,5271 Reisterstown Rd,bge,4751312000.0,6.0,2019.0,11896.0,0.0,Baltimore City Police North Western District,5271 Reisterstown Rd,4543B,27,39.34462,-76.685455,56228.0,"Public Services, police",BCPD,1965.0,Middle Branch - Reedbird Parks,10.0,1
86,B00120,Waxter Senior Center,1000 Cathedral St,bge,5229602000.0,6.0,2019.0,79821.0,32.0,Waxter Senior Center,1000 Cathedral St,504,1,39.301190000000005,-76.61804000000001,50386.44,"Healthcare, Senior Care Community",HEALTH,1972.0,Mid - Town Belvedere,11.0,3
87,B00100,Eastern Health District Building,620 N Caroline St,bge,8752451000.0,6.0,2019.0,41928.0,211.0,Eastern Health District Building,620 N Caroline St,1280,3,39.2977,-76.59796,29232.0,"Healthcare, Urgent Care/Clinic/Out Patient",HEALTH,1939.0,Dunbar- Broadway,12.0,4
88,B00229,"Jean and Lillian Hofmeister Museum Building,Star Spangled Banner Museum and Flag House",844 E Pratt St,bge,9003501000.0,6.0,2019.0,1854.0,3.0,"Jean and Lillian Hofmeister Museum Building,Star Spangled Banner Museum and Flag House",844 E Pratt St,1377,16,39.28776,-76.6036,2117.29,"Public Assembly, Museum",DGS HISTORIC,2003.0,Jonestown,12.0,8
89,B00028,Baltimore City Police Southern District,10 Cherry Hill Rd,bge,9570811000.0,6.0,2019.0,24512.0,73.0,Baltimore City Police Southern District,10 Cherry Hill Rd,7610,11,39.25288,-76.6172,29314.0,"Public Services, police",BCPD,1965.0,Middle Branch - Reedbird Parks,10.0,1
90,B00029,Baltimore City Police South Eastern District,5710 Eastern Av,bge,1245540000.0,5.0,2019.0,28840.0,39.0,Baltimore City Police South Eastern District,5710 Eastern Avenue Baltimore ,6332,9,39.287688,-76.547422,26177.0,"Public Services, police",BCPD,1950.0,Hopkins Bayview,1.0,1
91,B00075,Northeast DGS Fleet Substation,4325 York Rd,bge,1467291000.0,5.0,2019.0,4900.0,167.0,Northeast DGS Fleet Substation,4325 York Rd,5211,9,39.34171,-76.60918000000001,4764.0,"Warehouse, self storage",DGS,1979.0,Wilson Park,9.0,11
92,B00073,Fallsway Substation,201 Fallsway St,bge,1961720000.0,5.0,2019.0,900.0,69.0,Fallsway Substation,201 Fallsway St,1306C,1,39.2922,-76.6069,25507.0,"Warehouse, self storage",DGS,1940.0,Jonestown,12.0,11
93,B00022,Baltimore City Mounted Police Unit,411 Fallsway St,bge,2119590000.0,11.0,2018.0,8129.0,0.0,Baltimore City Mounted Police Unit,411 Fallsway St,1255,2,39.295559999999995,-76.61028,11270.59,"Public Services, police",BCPD,,Penn - Fallsway,11.0,1
94,B00167,Parking Authority Offices,200 West Lombard St Suite B,bge,3138112000.0,5.0,2019.0,10500.0,0.0,Parking Authority Offices,200 West Lombard St Suite B,644,1,39.28774,-76.61863000000001,15209.0,Office,PABC,1960.0,Downtown,11.0,6
95,B06107,1812 Museum Flag House Building,844 E Pratt St,bge,3955000000.0,5.0,2019.0,41136.0,0.0,1812 Museum Flag House Building,844 E Pratt St,1377,16,39.28751,-76.60333,12685.55,"Public Assembly, Museum",DGS HISTORIC,1793.0,Jonestown,12.0,8
96,B08003,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,bge,4360021000.0,5.0,2019.0,9026.0,0.0,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6
97,B00011,First Mariner Arena,201 West Baltimore St,bge,4561060000.0,5.0,2019.0,437486.0,0.0,First Mariner Arena,201 West Baltimore St,644,1,39.28862,-76.61861999999999,697620.0,"Public Assembly, Convention Center",Civic Centers,1960.0,Downtown,11.0,7
98,B00005,DGS Public Building Maintenance Shop,500 Fallsway,bge,5601260000.0,5.0,2019.0,38398.0,96.0,DGS Public Building Maintenance Shop,500 Fallsway,1255,1,39.29588,-76.61028,18144.0,"Warehouse, self storage",DGS,1945.0,Penn - Fallsway,11.0,11
99,B06043,Fleet Central Garage Main Building,3800 E Biddle St,bge,5620250000.0,5.0,2019.0,85142.0,374.0,Fleet Central Garage Main Building,3800 E Biddle St,6150A,003D,39.30612,-76.56612,105914.0,"Warehouse, self storage",DGS,2008.0,Orangevile Industrial Area ,13.0,11
