,bl_id,account,consump_month,consump_year,bge_kWh_used,bge_therms_used,BTU electric,BTU gas,Site BTU,Source BTU,name,address1,block,lot,lat,lon,sq_ft,property_type,agency_occupied,year_built,neighborhood,council_district,Property Type Code,Site EUI,Source EUI
10,B00048,33959892000.0,78.0,2017,849721.0,5479.0,2899248.052,547900.0,3447148.052,8693189.5456,Health Department Headquarters,1001 E Fayette St,1337,1,39.29097,-76.6031,277322.95,Office,HEALTH,2001.0,Jonestown,12.0,6,12.430085761023385,31.34680900228416
11,B00051,71182932000.0,78.0,2017,1857358.0,2891.0,6337305.496,289100.0,6626405.496,18048010.3888,MECU Building,401 E Fayette St,1331,16,39.290279999999996,-76.60994000000001,46668.0,Office,MULTI,1981.0,Downtown,11.0,6,141.99034661866804,386.7320302734207
12,B00073,95448492000.0,156.0,2017,213553.0,22415.0,728642.836,2241500.0,2970142.836,4393774.9408,Fallsway Substation,201 Fallsway St,1306C,1,39.2922,-76.6069,25507.0,"Warehouse, self storage",DGS,1940.0,Jonestown,12.0,11,116.44422456580547,172.2576132355824
13,B00075,17607492000.0,78.0,2017,62500.0,6013.0,213250.0,601300.0,814550.0,1228465.0,Northeast DGS Fleet Substation,4325 York Rd,5211,9,39.34171,-76.60918000000001,4764.0,"Warehouse, self storage",DGS,1979.0,Wilson Park,9.0,11,170.98026868178002,257.86418975650713
14,B00076,99701640000.0,78.0,2017,68347.0,8380.0,233199.964,838000.0,1071199.964,1532859.8991999999,Northwest Substation,4410 Lewin Av,2959B,191,39.33955,-76.67869,4764.0,"Warehouse, self storage",DOT,1966.0,Dolefield,6.0,11,224.85305709487824,321.7590048698572
15,B00100,113781863000.0,86.0,2017,361448.0,2246.0,1233260.576,224600.0,1457860.576,3688959.6127999993,Eastern Health District Building,620 N Caroline St,1280,3,39.2977,-76.59796,29232.0,"Healthcare, Urgent Care/Clinic/Out Patient",HEALTH,1939.0,Dunbar- Broadway,12.0,4,49.87207772304323,126.19593639846741
16,B00101,115548732000.0,78.0,2017,213195.0,0.0,727421.34,0.0,727421.34,2036779.7519999999,WIC Center/ Dunbar Child Care Academy,621 North Eden Street,1280,5,39.29068052,-76.60768333,16448.0,Office,MULTI,,,,6,44.22551921206225,123.83145379377432
17,B00102,35296932000.0,78.0,2017,450177.0,12404.0,1536003.9239999999,1240400.0,2776403.9239999996,5603230.987199999,Druid Health District Building,1515 W North Av,295,2,39.30983,-76.64138,36012.0,"Healthcare, Urgent Care/Clinic/Out Patient",HEALTH,1960.0,Druid Heights,7.0,4,77.09663234477395,155.59344071976005
18,B00104,76181172000.0,78.0,2017,431450.0,0.0,1472107.4,0.0,1472107.4,4121900.7199999993,2492 Giles Road,2490 Giles Rd,7612E,053A,39.2533,-76.63065999999999,20693.0,VACANT,HEALTH (BARCS),1976.0,Cherry Hill,10.0,10,71.14035664234282,199.19299859855985
19,B00120,67984826000.0,86.0,2017,795036.0,28139.0,2712662.832,2813900.0,5526562.832,10550050.9296,Waxter Senior Center,1000 Cathedral St,504,1,39.301190000000005,-76.61804000000001,50386.44,"Healthcare, Senior Care Community",HEALTH,1972.0,Mid - Town Belvedere,11.0,3,109.68353453826069,209.38274126133936
20,B00163,106199532000.0,156.0,2017,1115365.0,29275.0,3805625.38,2927500.0,6733125.38,13729626.064,The Weinberg Housing and Resource Center,620 Fallsway St,1248,1,39.29733,-76.61064,40949.0,"Lodging, Residential Care",MOHS,1945.0,Penn - Fallsway,11.0,5,164.42710151652054,335.2859914527827
21,B00167,193048704000.0,234.0,2017,787771.0,0.0,2687874.652,0.0,2687874.652,7526049.025599998,Parking Authority Offices,200 West Lombard St Suite B,644,1,39.28774,-76.61863000000001,15209.0,Office,PABC,1960.0,Downtown,11.0,6,176.72921638503516,494.8418058780984
22,B00181,178716622000.0,150.0,2017,136091.0,3401.0,464342.49199999997,340100.0,804442.492,1657263.9775999999,Northern Community Action Center,5225 York Rd,5165A,12,39.353809999999996,-76.60951999999999,14344.0,"Public Assembly, Other",CAC,1950.0,Woodbourne-McCabe,4.0,9,56.08215923034021,115.53708711656441
23,B00182,14385372000.0,76.0,2017,393832.0,9642.0,1343754.784,964200.0,2307954.784,4774923.395199999,Lower Park Heights Multi Purpose Building,3939 Reisterstown Rd,3321,23,39.333729999999996,-76.66336,33707.0,"Public Assembly, Other",CAC,1978.0,Central Park Heights,6.0,9,68.4710826831222,141.65969665648083
24,B00183,9433812000.0,78.0,2017,72800.0,6869.0,248393.6,686900.0,935293.6,1416747.08,Reservoir Hill / Metro Delta Head Start,2001 Park Av,3448,30,39.313340000000004,-76.62805999999999,18744.0,"Education, vocational",VACANT,1880.0,Resevoir Hill,7.0,2,49.89829278702518,75.5840311566368
25,B00220,83380452000.0,78.0,2017,131100.0,7442.0,447313.2,744200.0,1191513.2,2033886.96,Peale Museum,225 N Holliday St,1303A,15,39.29186,-76.61007,13686.0,"Public Assembly, Museum",DGS HISTORIC,1814.0,Downtown,11.0,8,87.06073359637585,148.6107672073652
26,B00228,39616213000.0,85.0,2017,71320.0,0.0,243343.84,0.0,243343.84,681362.752,Carroll Mansion Musuem,802 Lombard St,1358,12,39.28855,-76.6044,12527.19,"Public Assembly, Museum",DGS HISTORIC,1812.0,Jonestown,12.0,8,19.42525338882862,54.390709488720134
27,B00229,108042012000.0,78.0,2017,29253.0,500.0,99811.236,50000.0,149811.236,331971.4608,"Jean and Lillian Hofmeister Museum Building,Star Spangled Banner Museum and Flag House",844 E Pratt St,1377,16,39.28776,-76.6036,2117.29,"Public Assembly, Museum",DGS HISTORIC,2003.0,Jonestown,12.0,8,70.75612504663981,156.79073759381095
28,B00230,28746263000.0,85.0,2017,50200.0,0.0,171282.4,0.0,171282.4,479590.72,President's Street Station Civil War Museum,601 President St,1799,3,39.28398,-76.60247,4543.28,"Public Assembly, Museum",DGS HISTORIC,1851.0,Inner Harbor,1.0,8,37.70016375834199,105.56045852335757
29,B06043,73063250000.0,86.0,2017,1033337.0,68189.0,3525745.844,6818900.0,10344645.844,17031933.3632,Fleet Central Garage Main Building,3800 E Biddle St,6150A,003D,39.30612,-76.56612,105914.0,"Warehouse, self storage",DGS,2008.0,Orangevile Industrial Area ,13.0,11,97.67024042147403,160.80908438166816
30,B06107,47460000000.0,78.0,2017,338956.0,0.0,1156517.872,0.0,1156517.872,3238250.0415999996,1812 Museum Flag House Building,844 E Pratt St,1377,16,39.28751,-76.60333,12685.55,"Public Assembly, Museum",DGS HISTORIC,1793.0,Jonestown,12.0,8,91.16813003772009,255.27076410561622
31,B08000,73910892000.0,78.0,2017,19512.0,0.0,66574.944,0.0,66574.944,186409.8432,Northeast DGS Fleet Substation Garage,4325 York Rd,5211,9,39.34193,-76.60871,893.0,"Warehouse, self storage",DGS ,,Wilson Park,4.0,11,74.55200895856663,208.74562508398657
32,B08003,327979356000.0,312.0,2017,366052.0,6153.0,1248969.4239999999,615300.0,1864269.4239999999,4143179.3871999993,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6,3655.430243137255,8123.881151372548
33,B08020,70619040000.0,78.0,2017,171860.0,12128.0,586386.32,1212800.0,1799186.3199999998,2915321.6959999995,Eastside Career Center,3001 E Madison St,1630,1,39.29973,-76.575,27910.0,"Education, vocational",MOED,1955.0,Maidson- Eastend,,2,64.4638595485489,104.45437821569328
