,bl_id,account,consump_month,consump_year,bge_kWh_used,bge_therms_used,BTU electric,BTU gas,Site BTU,Source BTU,name,address1,block,lot,lat,lon,sq_ft,property_type,agency_occupied,year_built,neighborhood,council_district,Property Type Code,Site EUI,Source EUI
20,B00167,118970764000.0,91.0,2019,422369.0,0.0,1441123.028,0.0,1441123.028,4035144.4783999994,Parking Authority Offices,200 West Lombard St Suite B,644,1,39.28774,-76.61863000000001,15209.0,Office,PABC,1960.0,Downtown,11.0,6,94.75462081662174,265.3129382865408
21,B00181,94369957000.0,43.0,2019,109061.0,1918.0,372116.132,191800.0,563916.132,1243315.1696,Northern Community Action Center,5225 York Rd,5165A,12,39.353809999999996,-76.60951999999999,14344.0,"Public Assembly, Other",CAC,1950.0,Woodbourne-McCabe,4.0,9,39.313729224762966,86.67841394311209
22,B00182,7192686000.0,26.0,2019,198118.0,6438.0,675978.616,643800.0,1319778.616,2568730.1248,Lower Park Heights Multi Purpose Building,3939 Reisterstown Rd,3321,23,39.333729999999996,-76.66336,33707.0,"Public Assembly, Other",CAC,1978.0,Central Park Heights,6.0,9,39.154437238555786,76.20761636455336
23,B00183,5503057000.0,28.0,2019,35100.0,6526.0,119761.2,652600.0,772361.2,1020561.36,Reservoir Hill / Metro Delta Head Start,2001 Park Av,3448,30,39.313340000000004,-76.62805999999999,18744.0,"Education, vocational",VACANT,1880.0,Resevoir Hill,7.0,2,41.20578318395219,54.447362355953906
24,B00220,48638597000.0,28.0,2019,61600.0,3458.0,210179.19999999998,345800.0,555979.2,951591.7599999999,Peale Museum,225 N Holliday St,1303A,15,39.29186,-76.61007,13686.0,"Public Assembly, Museum",DGS HISTORIC,1814.0,Downtown,11.0,8,40.623936869793944,69.53030542159871
25,B00228,54684665000.0,57.0,2019,44520.0,2220.0,151902.24,222000.0,373902.24,658426.2719999999,Carroll Mansion Musuem,802 Lombard St,1358,12,39.28855,-76.6044,12527.19,"Public Assembly, Museum",DGS HISTORIC,1812.0,Jonestown,12.0,8,29.847255449945276,52.55977374016039
26,B00229,63024507000.0,28.0,2019,12062.0,432.0,41155.544,43200.0,84355.544,160595.5232,"Jean and Lillian Hofmeister Museum Building,Star Spangled Banner Museum and Flag House",844 E Pratt St,1377,16,39.28776,-76.6036,2117.29,"Public Assembly, Museum",DGS HISTORIC,2003.0,Jonestown,12.0,8,39.841280126954736,75.84956392369492
27,B00230,15478757000.0,28.0,2019,31600.0,0.0,107819.2,0.0,107819.2,301893.75999999995,President's Street Station Civil War Museum,601 President St,1799,3,39.28398,-76.60247,4543.28,"Public Assembly, Museum",DGS HISTORIC,1851.0,Inner Harbor,1.0,8,23.731577186526035,66.44841612227289
28,B06043,39341750000.0,28.0,2019,638938.0,59772.0,2180056.456,5977200.0,8157256.456,12380218.0768,Fleet Central Garage Main Building,3800 E Biddle St,6150A,003D,39.30612,-76.56612,105914.0,"Warehouse, self storage",DGS,2008.0,Orangevile Industrial Area ,13.0,11,77.01773567233793,116.88934491002134
29,B06107,27685000000.0,28.0,2019,247132.0,0.0,843214.384,0.0,843214.384,2361000.2751999996,1812 Museum Flag House Building,844 E Pratt St,1377,16,39.28751,-76.60333,12685.55,"Public Assembly, Museum",DGS HISTORIC,1793.0,Jonestown,12.0,8,66.47046316478198,186.11729686138952
30,B08000,43114687000.0,28.0,2019,10670.0,0.0,36406.04,0.0,36406.04,101936.912,Northeast DGS Fleet Substation Garage,4325 York Rd,5211,9,39.34193,-76.60871,893.0,"Warehouse, self storage",DGS ,,Wilson Park,4.0,11,40.76824188129899,114.15107726763718
31,B08003,191321291000.0,112.0,2019,204848.0,5176.0,698941.3759999999,517600.0,1216541.376,2500515.8527999995,Department of Transportation Main Impound Facility,6700 Pulaski Hwy Rosedale,6195,2,39.30593,-76.53758,510.0,Office,DGS,,Pulaski Industrial Area,,6,2385.3752470588233,4902.972260392156
32,B08020,58849200000.0,61.0,2019,137320.0,14507.0,468535.83999999997,1450700.0,1919235.8399999999,2835135.352,Eastside Career Center,3001 E Madison St,1630,1,39.29973,-76.575,27910.0,"Education, vocational",MOED,1955.0,Maidson- Eastend,,2,68.76516804012898,101.58134546757435
